Date,AAPL,AMZN,ANET,APO,ARES,AVGO,BX,GOOGL,IBM,KKR,META,MSFT,NVDA,OWL,TSM
2025-06-04,-0.00221616,0.00736182,0.00464530,-0.00612095,0.00284411,0.01633458,-0.00180004,0.01119011,0.00120598,0.00024899,0.03115101,0.00194211,0.00494467,0.01589025,0.02395051
2025-06-05,-0.01085658,0.00327604,0.00252470,-0.00015360,0.00578177,-0.00441472,-0.00723296,0.00095153,0.00503399,0.00107818,-0.00485234,0.00817989,-0.01369258,-0.00052564,0.00463359
2025-06-06,0.01626539,0.02685937,0.02151514,0.02404101,0.02262572,-0.05130736,0.01933871,0.03200133,0.00750373,0.02262018,0.01893982,0.00575667,0.01228233,0.01253933,0.00900813
2025-06-09,-0.01218660,0.01584048,-0.00463796,0.00044951,-0.00912819,-0.01078971,-0.00335197,0.01499057,0.01186820,-0.00121630,-0.00524527,0.00502576,0.00640066,-0.00364100,0.00883122
2025-06-10,0.00603780,0.00289931,-0.03254887,0.01568045,-0.02182685,0.00143180,0.02106538,0.01415349,0.01517372,0.00622796,0.01194468,-0.00387851,0.00928152,-0.00679753,0.02603493
2025-06-11,-0.01938029,-0.02047379,0.00542817,0.01761417,0.00118573,0.03328682,-0.01104310,-0.00702358,0.01893359,0.01583914,-0.01182937,0.00360350,-0.00781083,0.00575463,0.00768953
2025-06-12,0.00211060,0.00018764,0.01642313,0.00057945,0.01195569,0.01241711,-0.00425258,-0.00934712,-0.00174225,-0.00604998,-0.00112433,0.01313746,0.01507863,0.00260493,0.00984255
2025-06-13,-0.01390139,-0.00536043,-0.03636376,-0.04441559,-0.02519607,-0.02920348,-0.03160424,-0.00587951,-0.01364984,-0.03171776,-0.01524484,-0.00819852,-0.02111809,-0.02742790,-0.02030401
2025-06-16,0.00997806,0.01868340,0.02923808,0.01495097,0.00956472,0.01357853,0.01347093,0.01195096,0.01649251,0.01691694,0.02856892,0.00876221,0.01897788,0.00957951,0.02146383
2025-06-17,-0.01410978,-0.00594079,-0.05857599,-0.01306031,-0.01113767,-0.01088811,-0.01876296,-0.00464962,0.00431958,-0.01914480,-0.00698907,-0.00229842,-0.00394736,-0.01601729,-0.00828721
2025-06-18,0.00479335,-0.01076438,0.00622498,0.00549996,0.01299193,0.00755044,0.01317821,-0.01506015,0.00056514,0.01117143,-0.00209606,0.00459144,0.00939229,0.00483227,-0.00187181
2025-06-20,0.02223537,-0.01340586,-0.04522271,0.01068746,-0.00948678,-0.00271633,0.00145358,-0.03930387,-0.00794065,0.00146928,-0.01947660,-0.00593112,-0.01126736,0.00214003,-0.01886534
2025-06-23,0.00248452,-0.00583511,0.06399486,-0.00364919,-0.00247644,0.01500742,0.00456503,-0.00873957,0.02880124,-0.00375912,0.02343566,0.01785388,0.00222200,-0.00751056,0.00385882
2025-06-24,-0.00597314,0.02041664,0.03231615,0.04293561,0.02667468,0.03864910,0.04059065,0.00951954,0.01581599,0.04506387,0.01938067,0.00842116,0.02554309,0.02866433,0.04540623
2025-06-25,0.00627085,-0.00367266,0.01401107,-0.01570405,-0.00602455,0.00333079,-0.00333772,0.02317467,-0.00933586,0.00833960,-0.00495483,0.00439755,0.04242730,-0.00419511,0.01196864
2025-06-26,-0.00278222,0.02391104,0.05337294,0.01169340,0.01359206,0.02064311,0.03160490,0.01661768,0.00298470,0.02377602,0.02426984,0.01046772,0.00459061,0.00837269,0.00568550
2025-06-27,0.00039796,0.02806600,-0.02189357,0.02529630,0.01202477,-0.00303982,0.01958047,0.02834850,-0.00766816,0.01765426,0.01033094,-0.00304008,0.01745723,0.01345777,0.02015187
2025-06-30,0.02013599,-0.01766521,0.02895590,-0.00737400,0.00011548,0.02312032,-0.01017671,-0.01296669,0.01738351,-0.00942712,0.00606096,0.00295959,0.00152036,-0.01241618,-0.00914166
2025-07-01,0.01283349,0.00486534,-0.03379701,-0.00169301,0.00879501,-0.04038368,0.02110221,-0.00221553,-0.01221909,-0.00436941,-0.02589864,-0.01083422,-0.03013505,0.00052044,-0.00802372
2025-07-02,0.02198727,-0.00245247,0.02219641,0.00808704,0.01842937,0.01930331,0.00515770,0.01579822,-0.01226580,0.01558208,-0.00788665,-0.00195297,0.02544022,0.00932175,0.03893317
2025-07-03,0.00521140,0.01574483,0.01365108,0.01176686,-0.00011237,0.01937385,0.01017224,0.00496971,0.01490655,0.02980492,0.00759474,0.01565804,0.01320329,0.00872468,0.00512377
2025-07-07,-0.01700160,0.00026852,-0.01029467,-0.02056018,-0.01757320,-0.00364053,-0.01389091,-0.01537984,0.00171097,-0.02232543,-0.00091826,-0.00224774,-0.00692735,-0.01337469,-0.02426995
2025-07-08,0.00028580,-0.01856296,0.01874504,0.02429101,0.00137163,-0.00871837,0.02172456,-0.01384042,-0.00703388,0.01755213,0.00322427,-0.00221259,0.01106086,0.00258596,-0.00573268
2025-07-09,0.00536624,0.01439261,0.02756887,0.01124603,0.01062291,0.02219496,0.01479220,0.01287849,-0.00096453,0.00923657,0.01666426,0.01377845,0.01783995,0.00412364,0.01731600
2025-07-10,0.00599706,-0.00125899,0.00009411,0.01058150,0.01769854,-0.00903685,0.03334277,0.00564586,-0.00938433,0.02713888,-0.00758907,-0.00403979,0.00746230,0.00819682,-0.00901221
2025-07-11,-0.00590238,0.01234146,0.02122391,-0.00697404,-0.01544080,-0.00371055,-0.01263588,0.01436538,-0.01344980,-0.01407979,-0.01346962,0.00366237,0.00498441,-0.03583867,0.00278163
2025-07-14,-0.01210167,0.00297308,-0.00184380,0.00913074,0.01660591,0.00443651,0.00836015,0.00757434,0.00070503,-0.01155191,0.00474130,-0.00059621,-0.00516730,0.01678079,-0.00753694
2025-07-15,0.00234600,0.00292011,-0.00927048,-0.01909993,-0.03297643,0.01919066,-0.02203335,0.00242053,-0.00384834,-0.01604991,-0.01471398,0.00555099,0.03961449,-0.02208309,0.03556920
2025-07-16,0.00500866,-0.01405906,0.00862434,0.04685365,0.03064485,-0.00046296,0.03758262,0.00531559,-0.00276280,0.04168161,-0.01058543,-0.00039551,0.00391736,0.07030354,0.00257103
2025-07-17,-0.00066624,0.00308678,0.03341513,0.02163575,0.01790240,0.01988580,0.03883351,0.00332823,0.00028363,0.03131170,-0.00213620,0.01195316,0.00946658,0.03026085,0.03328405
2025-07-18,0.00550801,0.00999986,-0.00178767,-0.02629597,-0.00027309,-0.01091639,-0.02209875,0.00802961,0.01363010,-0.01103644,0.00408346,-0.00322982,-0.00341616,-0.00917649,-0.02140002
2025-07-21,0.00613694,0.01392113,-0.00152199,-0.02201690,-0.02337052,0.01704175,-0.01210474,0.02687016,-0.00406605,-0.01171367,0.01226327,0.00001958,-0.00599202,-0.02904465,-0.00646836
2025-07-22,0.00899557,-0.00801284,-0.01653231,0.00643553,-0.00358400,-0.03394830,0.01600898,0.00650174,-0.00970603,0.00477084,-0.01151111,-0.00943547,-0.02570993,-0.00350275,-0.01795385
2025-07-23,-0.00116657,0.00359835,0.02926339,0.01459404,0.01293156,0.01814101,0.01511725,-0.00581816,0.00017752,0.02244076,0.01236635,0.00118682,0.02220273,0.02328571,0.02413100
2025-07-24,-0.00182295,0.01711152,0.00880753,-0.00138380,0.00975433,0.01754054,0.03513936,0.01014644,-0.07930139,0.01293363,0.00170821,0.00985509,0.01718388,-0.00540151,0.00527053
2025-07-25,0.00056133,-0.00340757,0.00210229,-0.00336890,0.02105578,0.00507874,-0.00005615,0.00524207,-0.00303708,0.01303138,-0.00297031,0.00552413,-0.00138235,-0.01438145,0.01642070
2025-07-28,0.00079448,0.00581606,0.02821223,-0.01620965,0.00610310,0.01409822,-0.00653454,-0.00311069,0.01334805,-0.00006574,0.00692170,-0.00235818,0.01855864,-0.01054495,-0.01167212
2025-07-29,-0.01307271,-0.00767575,0.00906133,-0.00593540,0.00303764,0.01054578,0.00056491,0.01632667,-0.00304402,-0.00758704,-0.02487384,0.00013656,-0.00704041,0.00201732,-0.00586674
2025-07-30,-0.01056347,-0.00355591,0.02883332,-0.01609412,-0.00106476,0.01733239,-0.00964868,0.00397678,-0.00822698,-0.00378192,-0.00686629,0.00130625,0.02119715,-0.01727710,0.00652563
2025-07-31,-0.00710484,0.01688603,0.00921294,-0.00096307,-0.01178820,-0.02991890,-0.01366640,-0.02384073,-0.02769903,-0.02592641,0.10663412,0.03871565,-0.00784007,-0.00823468,-0.00532478
2025-08-01,-0.02532145,-0.08631653,-0.04693749,-0.04958527,-0.01465979,-0.01737849,-0.01491200,-0.01453969,-0.01232123,-0.02787851,-0.03076155,-0.01775750,-0.02360817,-0.02671004,-0.02688740
2025-08-04,0.00478143,-0.01454062,0.02337025,0.02661494,0.03080656,0.03097308,0.00664984,0.03076990,0.00768878,0.01793704,0.03454264,0.02176077,0.03551207,0.02671004,0.01598472
2025-08-05,-0.00211690,0.00987317,-0.01870307,0.02448316,-0.00302780,-0.01621977,-0.01667790,-0.00189882,-0.00521239,-0.01716566,-0.01676844,-0.01483991,-0.00971378,0.00000000,-0.02770230
2025-08-06,0.04965347,0.03926569,0.16118886,0.00226485,0.00694468,0.02940002,0.00991022,0.00726797,0.00640226,0.01323047,0.01111079,-0.00533855,0.00648630,0.00977123,-0.00474309
2025-08-07,0.03129872,0.00368179,0.00359635,-0.03317603,-0.01243887,0.00690421,-0.01014877,0.00219045,-0.00843884,-0.01653050,-0.01324811,-0.00784097,0.00749609,-0.03118750,0.04747826
2025-08-08,0.04148534,-0.00197390,-0.00071828,0.00607597,0.00788521,0.00397551,0.00754710,0.02462800,-0.02530952,0.00337015,0.00975752,0.00230116,0.01061994,0.04187738,-0.00326143
2025-08-11,-0.00837235,-0.00626142,-0.01105382,0.00105589,-0.01002721,-0.00351474,0.00684417,-0.00208731,-0.02495060,-0.00644245,-0.00446853,-0.00051729,-0.00350914,0.00000000,0.00107462
2025-08-12,0.01081375,0.00076788,0.02581718,0.01729959,0.03274652,0.02896123,0.02134982,0.01157455,-0.00649591,0.03926952,0.03102047,0.01421520,0.00602381,0.02845213,0.00904642
2025-08-13,0.01589736,0.01385578,-0.02320526,-0.02556604,-0.00948650,-0.01202743,0.01644044,-0.00680977,0.02232431,0.00149313,-0.01263636,-0.01649849,-0.00860872,-0.01387529,-0.01173495
2025-08-14,-0.00235995,0.02818819,-0.01114805,-0.00191752,-0.00256963,0.00689975,-0.01104467,0.00484074,-0.01240649,-0.00953955,0.00262437,0.00364303,0.00236517,-0.00785314,-0.00182410
2025-08-15,-0.00512525,0.00021646,0.00599028,-0.00921205,-0.01411867,-0.01583659,-0.01767296,0.00471919,0.01094741,-0.02622063,0.00395574,-0.00443096,-0.00866287,-0.03204400,-0.00883563
2025-08-18,-0.00302714,0.00198913,0.00537511,0.00366559,0.00790350,-0.00189510,-0.01408320,-0.00196361,-0.00112699,-0.00761957,-0.02300756,-0.00591946,0.00860789,0.00680434,0.01053537
2025-08-19,-0.00143026,-0.01514724,-0.03884984,-0.01671109,-0.04694522,-0.03613028,-0.01147094,-0.00952924,0.00761345,-0.01606308,-0.02092447,-0.01427655,-0.03562510,-0.01789505,-0.03674669
2025-08-20,-0.01993200,-0.01859200,-0.00991492,-0.01277464,-0.00923465,-0.01276284,-0.01700047,-0.01122518,0.00524980,-0.00620858,-0.00501613,-0.00797646,-0.00136739,-0.01390402,-0.01777629
2025-08-21,-0.00492337,-0.00834535,0.00425046,-0.00987559,-0.00375156,-0.00540678,-0.00628227,0.00215499,-0.01307204,-0.00181204,-0.01159537,-0.00128821,-0.00239753,-0.00053872,-0.00557096
2025-08-22,0.01263664,0.03057094,0.00919790,0.00141667,0.01564073,0.01507916,0.04228944,0.03124629,0.01117370,0.02811245,0.02100640,0.00591222,0.01705578,0.01284816,0.02459274
2025-08-25,-0.00263784,-0.00394061,-0.00157728,-0.00231261,-0.01637016,0.00078213,-0.00588245,0.01157826,-0.01104848,-0.02182062,-0.00197598,-0.00587262,0.01017338,-0.01069525,0.01109749
2025-08-26,0.00942020,0.00337241,0.00920295,0.00380183,0.00448099,0.01276515,0.01132213,-0.00649626,0.01327672,0.00982836,0.00106140,-0.00441219,0.01084144,0.00375631,0.01319825
2025-08-27,0.00513275,0.00179101,-0.00747555,0.00977359,0.00323623,0.00748848,0.00122433,0.00164007,0.00906718,0.00278013,-0.00895116,0.00931833,-0.00093566,-0.00429416,0.00238489
2025-08-28,0.00894070,0.01076591,0.02196742,0.00492445,0.00422485,0.02759248,0.00221141,0.01985175,0.00362843,-0.00270871,0.00497838,0.00570650,-0.00790572,0.00536486,-0.00427162
2025-08-29,-0.00180756,-0.01128977,0.00234627,-0.00117379,-0.00595321,-0.03716355,-0.00361081,0.00598290,-0.00915750,-0.00429231,-0.01666021,-0.00580523,-0.03381165,-0.00913736,-0.03154980
2025-09-02,-0.01047950,-0.01611165,-0.00499236,-0.00286680,0.00323136,0.00285410,-0.01085222,-0.00735399,-0.00820639,-0.00539110,-0.00487187,-0.00310336,-0.01971298,-0.00432902,-0.01080012
2025-09-03,0.03738231,0.00288042,0.01105233,-0.02391454,-0.01660151,0.01381904,-0.01312016,0.08742922,0.01070856,-0.02858700,0.00263557,0.00045523,-0.00093733,-0.02916306,0.01305001
